PID,Type,Module Name,Base Address,Size,Endaddress,Timestamp
10200,Benign,C:\Windows\System32\CoreMessaging.dll                                                                                        , 0x7ffad5760000 , 0x133000  , 0x7ffad5893000 , 0x75b5b05b
10200,Benign,C:\Windows\System32\CRYPTBASE.DLL                                                                                            , 0x7ffad7f80000 , 0xc000    , 0x7ffad7f8c000 , 0xf6072bfa
10200,Benign,C:\Windows\System32\msctf.dll                                                                                                , 0x7ffada230000 , 0x153000  , 0x7ffada383000 , 0x0498c0ce
10200,Benign,C:\Windows\System32\UiaManager.dll                                                                                           , 0x7ffab33c0000 , 0xf2000   , 0x7ffab34b2000 , 0x7220fa50
10200,Benign,C:\Windows\System32\WindowManagementAPI.dll                                                                                  , 0x7ffac5230000 , 0x1f7000  , 0x7ffac5427000 , 0xd01cafb9
10200,Benign,C:\Windows\System32\dxgi.dll                                                                                                 , 0x7ffad6000000 , 0xf7000   , 0x7ffad60f7000 , 0xf23fbf08
10200,Benign,C:\Windows\System32\DXCore.dll                                                                                               , 0x7ffad5ed0000 , 0x39000   , 0x7ffad5f09000 , 0x22b66af5
10200,Benign,C:\Windows\System32\directxdatabasehelper.dll                                                                                , 0x7ffac88f0000 , 0x4a000   , 0x7ffac893a000 , 0x01be61e1
10200,Benign,C:\Windows\System32\dcomp.dll                                                                                                , 0x7ffad5090000 , 0x255000  , 0x7ffad52e5000 , 0xef6c3ba7
10200,Benign,C:\Windows\System32\Windows.UI.Immersive.dll                                                                                 , 0x7ffac64e0000 , 0x175000  , 0x7ffac6655000 , 0xb52c5c25
10200,Benign,C:\Windows\System32\DataExchange.dll                                                                                         , 0x7ffac7f60000 , 0x5e000   , 0x7ffac7fbe000 , 0xbb00267a
10200,Benign,C:\Windows\System32\d3d11.dll                                                                                                , 0x7ffad4840000 , 0x257000  , 0x7ffad4a97000 , 0xbd4a4779
10200,Benign,C:\Windows\System32\d3d10warp.dll                                                                                            , 0x7ffac4b10000 , 0x711000  , 0x7ffac5221000 , 0xbb0f75f0
10200,Benign,C:\Windows\System32\d2d1.dll                                                                                                 , 0x7ffad4aa0000 , 0x5ee000  , 0x7ffad508e000 , 0x7bada9a5
10200,Benign,C:\Windows\System32\TextShaping.dll                                                                                          , 0x7ffac4690000 , 0xb0000   , 0x7ffac4740000 , 0x47f587d9
10200,Benign,C:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.8_8.2310.30001.0_x64__8wekyb3d8bbwe\Microsoft.UI.Xaml.dll                   , 0x7ffa786e0000 , 0x5e3000  , 0x7ffa78cc3000 , 0x43c989a9
10200,Benign,C:\Windows\System32\Windows.UI.Xaml.Controls.dll                                                                             , 0x7ffaafee0000 , 0x410000  , 0x7ffab02f0000 , 0xb1c2c929
10200,Benign,C:\Windows\System32\Bcp47Langs.dll                                                                                           , 0x7ffac6f00000 , 0x60000   , 0x7ffac6f60000 , 0xf19a9b44
10200,Benign,C:\Windows\System32\Windows.ApplicationModel.dll                                                                             , 0x7ffab46c0000 , 0xfc000   , 0x7ffab47bc000 , 0x2cb1551b
10200,Benign,C:\Windows\System32\Windows.Globalization.dll                                                                                , 0x7ffab77a0000 , 0x1bb000  , 0x7ffab795b000 , 0x7a738474
10200,Benign,C:\Windows\System32\Windows.Energy.dll                                                                                       , 0x7ffabe680000 , 0x31000   , 0x7ffabe6b1000 , 0x9aeba465
10200,Benign,C:\Windows\System32\Windows.Graphics.dll                                                                                     , 0x7ffac3fe0000 , 0xa2000   , 0x7ffac4082000 , 0xba9fd58e
10200,Benign,C:\Windows\System32\uiautomationcore.dll                                                                                     , 0x7ffab5c30000 , 0x444000  , 0x7ffab6074000 , 0x6435169c
10200,Benign,C:\Windows\System32\sxs.dll                                                                                                  , 0x7ffad85e0000 , 0xa3000   , 0x7ffad8683000 , 0x7afbeca6
10200,Benign,C:\Windows\System32\efswrt.dll                                                                                               , 0x7ffabb0a0000 , 0xd0000   , 0x7ffabb170000 , 0xd7caaf9c
10200,Benign,C:\Windows\System32\textinputframework.dll                                                                                   , 0x7ffac76e0000 , 0x14b000  , 0x7ffac782b000 , 0xeae524ce
10200,Benign,C:\Windows\System32\globinputhost.dll                                                                                        , 0x7ffaca2c0000 , 0x29000   , 0x7ffaca2e9000 , 0x54a28003
