PID,Type,VA Start,RVA,Size
10076,Benign,0x22b400294000 , 0x792a305  , 0x2000
10076,Benign,0x22b4002a0000 , 0x792c305  , 0x1000
10076,Benign,0x22b4002b0000 , 0x792d305  , 0x1000
10076,Benign,0x22b4002b8000 , 0x792e305  , 0x5000
10076,Benign,0x22b4002c0000 , 0x7933305  , 0x2000
10076,Benign,0x22b4002c8000 , 0x7935305  , 0x2000
10076,Benign,0x22b4002d4000 , 0x7937305  , 0x2000
10076,Benign,0x22b4002dc000 , 0x7939305  , 0x1000
10076,Benign,0x22b4002ec000 , 0x793a305  , 0x1000
10076,Benign,0x22b4002f0000 , 0x793b305  , 0x2000
10076,Benign,0x22b4002f4000 , 0x793d305  , 0x1000
10076,Benign,0x22b400304000 , 0x793e305  , 0x1000
10076,Benign,0x22b400310000 , 0x793f305  , 0x9000
10076,Benign,0x22b400334000 , 0x7948305  , 0x4000
10076,Benign,0x22b400344000 , 0x794c305  , 0x6000
10076,Benign,0x22b400350000 , 0x7952305  , 0x1000
10076,Benign,0x22b400354000 , 0x7953305  , 0x1000
10076,Benign,0x22b400401000 , 0x7954305  , 0x1000
10076,Benign,0x22b400404000 , 0x7955305  , 0x1000
10076,Benign,0x22b40040c000 , 0x7956305  , 0x8000
10076,Benign,0x22b400424000 , 0x795e305  , 0x1000
10076,Benign,0x22b400430000 , 0x795f305  , 0x1000
10076,Benign,0x22b400601000 , 0x7960305  , 0x1000
10076,Benign,0x22b40060c000 , 0x7961305  , 0xb000
10076,Benign,0x22b400618000 , 0x796c305  , 0x47000
10076,Benign,0x22b400660000 , 0x79b3305  , 0x1f000
10076,Benign,0x22b400680000 , 0x79d2305  , 0xf000
10076,Benign,0x22b400690000 , 0x79e1305  , 0xf000
10076,Benign,0x22b4006a0000 , 0x79f0305  , 0x7000
10076,Benign,0x22b4006a8000 , 0x79f7305  , 0x7000
10076,Benign,0x22b4006b0000 , 0x79fe305  , 0xf000
10076,Benign,0x22b4006c0000 , 0x7a0d305  , 0x7000
10076,Benign,0x22b4006c8000 , 0x7a14305  , 0xb000
10076,Benign,0x22b4006d4000 , 0x7a1f305  , 0x13000
10076,Benign,0x22b4006e8000 , 0x7a32305  , 0x1b000
10076,Benign,0x22b400704000 , 0x7a4d305  , 0x3000
10076,Benign,0x22b400708000 , 0x7a50305  , 0x27000
10076,Benign,0x22b400730000 , 0x7a77305  , 0x13000
10076,Benign,0x22b400744000 , 0x7a8a305  , 0x13000
10076,Benign,0x22b400758000 , 0x7a9d305  , 0x6000
10076,Benign,0x22b400760000 , 0x7aa3305  , 0x23000
10076,Benign,0x22b400784000 , 0x7ac6305  , 0x37000
10076,Benign,0x22b4007bc000 , 0x7afd305  , 0x28000
10076,Benign,0x22b400801000 , 0x7b25305  , 0x1000
10076,Benign,0x22b40080c000 , 0x7b26305  , 0x7000
10076,Benign,0x22b400814000 , 0x7b2d305  , 0x5e000
10076,Benign,0x22b40089c000 , 0x7b8b305  , 0x7000
10076,Benign,0x22b4008a4000 , 0x7b92305  , 0x3000
10076,Benign,0x22b4008b4000 , 0x7b95305  , 0x4000
10076,Benign,0x22b4008c0000 , 0x7b99305  , 0x4000
10076,Benign,0x22b4008cc000 , 0x7b9d305  , 0x3000
10076,Benign,0x22b4008d8000 , 0x7ba0305  , 0x2000
10076,Benign,0x22b4008e4000 , 0x7ba2305  , 0x9000
10076,Benign,0x22b4008fc000 , 0x7bab305  , 0x5000
10076,Benign,0x22b40090c000 , 0x7bb0305  , 0x2000
10076,Benign,0x22b40095c000 , 0x7bb2305  , 0x4000
10076,Benign,0x22b400a01000 , 0x7bb6305  , 0x1000
10076,Benign,0x22b400a0c000 , 0x7bb7305  , 0xe000
10076,Benign,0x22b400a1c000 , 0x7bc5305  , 0x14000
10076,Benign,0x22b400a3c000 , 0x7bd9305  , 0x1f000
10076,Benign,0x22b400a5c000 , 0x7bf8305  , 0xb000
10076,Benign,0x22b400a68000 , 0x7c03305  , 0x7000
10076,Benign,0x22b400a70000 , 0x7c0a305  , 0x7000
10076,Benign,0x22b400a78000 , 0x7c11305  , 0x7000
10076,Benign,0x22b400a80000 , 0x7c18305  , 0x1b000
10076,Benign,0x22b400a9c000 , 0x7c33305  , 0x3f000
10076,Benign,0x22b400adc000 , 0x7c72305  , 0x17000
10076,Benign,0x22b400af8000 , 0x7c89305  , 0x4000
10076,Benign,0x22b400b00000 , 0x7c8d305  , 0x2000
10076,Benign,0x22b400b04000 , 0x7c8f305  , 0xf000
10076,Benign,0x22b400b14000 , 0x7c9e305  , 0x1b000
10076,Benign,0x22b400b48000 , 0x7cb9305  , 0x4000
10076,Benign,0x22b400b5c000 , 0x7cbd305  , 0x13000
10076,Benign,0x22b400b70000 , 0x7cd0305  , 0x4000
10076,Benign,0x22b400b78000 , 0x7cd4305  , 0x34000
10076,Benign,0x22b400c01000 , 0x7d08305  , 0x1000
10076,Benign,0x22b400c24000 , 0x7d09305  , 0x6000
10076,Benign,0x22b400c2c000 , 0x7d0f305  , 0xb000
10076,Benign,0x22b400c38000 , 0x7d1a305  , 0x2000
10076,Benign,0x22b400c3c000 , 0x7d1c305  , 0x13000
10076,Benign,0x22b400c64000 , 0x7d2f305  , 0x3000
10076,Benign,0x22b400c68000 , 0x7d32305  , 0x13000
10076,Benign,0x22b400c7c000 , 0x7d45305  , 0x7000
10076,Benign,0x22b400c84000 , 0x7d4c305  , 0x13000
10076,Benign,0x22b400c98000 , 0x7d5f305  , 0x12000
10076,Benign,0x22b400cd4000 , 0x7d71305  , 0x4000
10076,Benign,0x22b400cdc000 , 0x7d75305  , 0x33000
10076,Benign,0x22b400d10000 , 0x7da8305  , 0xf000
10076,Benign,0x22b400d20000 , 0x7db7305  , 0x1b000
10076,Benign,0x22b400d3c000 , 0x7dd2305  , 0x13000
10076,Benign,0x22b400d50000 , 0x7de5305  , 0x18000
10076,Benign,0x22b400d70000 , 0x7dfd305  , 0xb000
10076,Benign,0x22b400d7c000 , 0x7e08305  , 0x7000
10076,Benign,0x22b400e01000 , 0x7e0f305  , 0x1000
10076,Benign,0x22b400e58000 , 0x7e10305  , 0x2000
